Date,log_rate,Month_Sin,Month_Cos,Origin_U.S. West Coast (Los Angeles)
2015-08-01,7.307202314764738,0.06698729810778081,0.24999999999999978,0.0
2015-08-01,6.447305862541213,0.06698729810778081,0.24999999999999978,1.0
2015-09-01,7.307202314764738,0.0,0.4999999999999999,0.0
2015-09-01,6.398594934535208,0.0,0.4999999999999999,1.0
2015-10-01,6.415096959171596,0.0669872981077807,0.75,1.0
2015-10-01,7.307202314764738,0.0669872981077807,0.75,0.0
2015-11-01,7.307202314764738,0.24999999999999978,0.9330127018922192,0.0
2015-11-01,6.398594934535208,0.24999999999999978,0.9330127018922192,1.0
2015-12-01,7.307202314764738,0.4999999999999999,1.0,0.0
2015-12-01,6.447305862541213,0.4999999999999999,1.0,1.0
2016-01-01,7.0825485693553,0.75,0.9330127018922194,0.0
2016-01-01,6.398594934535208,0.75,0.9330127018922194,1.0
2016-02-01,6.415096959171596,0.9330127018922193,0.75,1.0
2016-02-01,7.2868764117507,0.9330127018922193,0.75,0.0
2016-03-01,6.3818160174060985,1.0,0.5,1.0
2016-03-01,7.057036981697891,1.0,0.5,0.0
2016-04-01,7.237778191923443,0.9330127018922194,0.2500000000000001,0.0
2016-04-01,6.3818160174060985,0.9330127018922194,0.2500000000000001,1.0
2016-05-01,7.039660349862076,0.75,0.06698729810778065,0.0
2016-05-01,6.364750756851911,0.75,0.06698729810778065,1.0
2016-06-01,6.364750756851911,0.5000000000000001,0.0,1.0
2016-06-01,7.237778191923443,0.5000000000000001,0.0,0.0
2016-07-01,6.364750756851911,0.2500000000000001,0.06698729810778059,1.0
2016-07-01,7.1316985104669115,0.2500000000000001,0.06698729810778059,0.0
2016-08-01,6.364750756851911,0.06698729810778081,0.24999999999999978,1.0
2016-09-01,7.170888478512505,0.0,0.4999999999999999,0.0
2016-09-01,6.3473892096560105,0.0,0.4999999999999999,1.0
2016-10-01,7.280008252884188,0.0669872981077807,0.75,0.0
2016-10-01,6.3473892096560105,0.0669872981077807,0.75,1.0
2016-11-01,7.208600337960199,0.24999999999999978,0.9330127018922192,0.0
2016-11-01,6.364750756851911,0.24999999999999978,0.9330127018922192,1.0
2016-12-01,6.3473892096560105,0.4999999999999999,1.0,1.0
2017-01-01,7.244941546337007,0.75,0.9330127018922194,0.0
2017-01-01,6.398594934535208,0.75,0.9330127018922194,1.0
2017-02-01,6.398594934535208,0.9330127018922193,0.75,1.0
2017-03-01,7.1785454837637,1.0,0.5,0.0
2017-03-01,6.46302945692067,1.0,0.5,1.0
2017-04-01,6.478509642208569,0.9330127018922194,0.2500000000000001,1.0
2017-05-01,6.508769136971682,0.75,0.06698729810778065,1.0
2017-05-01,7.346655163176539,0.75,0.06698729810778065,0.0
2017-06-01,6.46302945692067,0.5000000000000001,0.0,1.0
2017-07-01,7.2305631534092925,0.2500000000000001,0.06698729810778059,0.0
2017-07-01,6.431331081933479,0.2500000000000001,0.06698729810778059,1.0
2017-08-01,6.46302945692067,0.06698729810778081,0.24999999999999978,1.0
2017-09-01,7.2868764117507,0.0,0.4999999999999999,0.0
2017-09-01,6.447305862541213,0.0,0.4999999999999999,1.0
2017-10-01,6.447305862541213,0.0669872981077807,0.75,1.0
2017-11-01,6.46302945692067,0.24999999999999978,0.9330127018922192,1.0
2017-11-01,7.208600337960199,0.24999999999999978,0.9330127018922192,0.0
2017-12-01,6.493753839851687,0.4999999999999999,1.0,1.0
2018-01-01,7.2520539518528135,0.75,0.9330127018922194,0.0
2018-01-01,6.46302945692067,0.75,0.9330127018922194,1.0
2018-02-01,6.46302945692067,0.9330127018922193,0.75,1.0
2018-03-01,7.170888478512505,1.0,0.5,0.0
2018-03-01,6.447305862541213,1.0,0.5,1.0
2018-04-01,6.431331081933479,0.9330127018922194,0.2500000000000001,1.0
2018-05-01,6.493753839851687,0.75,0.06698729810778065,1.0
2018-05-01,7.1785454837637,0.75,0.06698729810778065,0.0
2018-06-01,6.53813982376767,0.5000000000000001,0.0,1.0
2018-07-01,7.048386408721883,0.2500000000000001,0.06698729810778059,0.0
2018-07-01,6.621405651764134,0.2500000000000001,0.06698729810778059,1.0
2018-08-01,6.46302945692067,0.06698729810778081,0.24999999999999978,1.0
2018-09-01,6.46302945692067,0.0,0.4999999999999999,1.0
2018-09-01,7.201170883281678,0.0,0.4999999999999999,0.0
2018-10-01,6.55250788703459,0.0669872981077807,0.75,1.0
2018-11-01,7.147559271189454,0.24999999999999978,0.9330127018922192,0.0
2018-11-01,6.566672429803241,0.24999999999999978,0.9330127018922192,1.0
2018-12-01,6.566672429803241,0.4999999999999999,1.0,1.0
2019-01-01,7.1785454837637,0.75,0.9330127018922194,0.0
2019-01-01,6.594413459749778,0.75,0.9330127018922194,1.0
2019-02-01,6.566672429803241,0.9330127018922193,0.75,1.0
2019-03-01,6.8885724595653635,1.0,0.5,0.0
2019-03-01,6.55250788703459,1.0,0.5,1.0
2019-04-01,7.333676395657684,0.9330127018922194,0.2500000000000001,0.0
2019-04-01,6.55250788703459,0.9330127018922194,0.2500000000000001,1.0
2019-05-01,6.53813982376767,0.75,0.06698729810778065,1.0
2019-05-01,6.90875477931522,0.75,0.06698729810778065,0.0
2019-06-01,7.359467638255621,0.5000000000000001,0.0,0.0
2019-06-01,6.53813982376767,0.5000000000000001,0.0,1.0
2019-07-01,7.215975002651466,0.2500000000000001,0.06698729810778059,0.0
2019-07-01,6.53813982376767,0.2500000000000001,0.06698729810778059,1.0
2019-08-01,7.107425474110705,0.06698729810778081,0.24999999999999978,0.0
2019-08-01,6.523562306149512,0.06698729810778081,0.24999999999999978,1.0
2019-09-01,6.594413459749778,0.0,0.4999999999999999,1.0
2019-09-01,7.1631723908466425,0.0,0.4999999999999999,0.0
2019-10-01,6.566672429803241,0.0669872981077807,0.75,1.0
2019-11-01,7.155396301896734,0.24999999999999978,0.9330127018922192,0.0
2019-11-01,6.566672429803241,0.24999999999999978,0.9330127018922192,1.0
2019-12-01,6.621405651764134,0.4999999999999999,1.0,1.0
2020-01-01,7.215975002651466,0.75,0.9330127018922194,0.0
2020-01-01,6.621405651764134,0.75,0.9330127018922194,1.0
2020-02-01,6.608000625296087,0.9330127018922193,0.75,1.0
2020-03-01,6.55250788703459,1.0,0.5,1.0
2020-03-01,7.237778191923443,1.0,0.5,0.0
2020-04-01,7.384610383176974,0.9330127018922194,0.2500000000000001,0.0
2020-04-01,6.566672429803241,0.9330127018922194,0.2500000000000001,1.0
2020-05-01,7.259116128097101,0.75,0.06698729810778065,0.0
2020-05-01,6.523562306149512,0.75,0.06698729810778065,1.0
2020-06-01,7.501634457883413,0.5000000000000001,0.0,0.0
2020-06-01,6.55250788703459,0.5000000000000001,0.0,1.0
2020-07-01,6.55250788703459,0.2500000000000001,0.06698729810778059,1.0
2020-07-01,7.2305631534092925,0.2500000000000001,0.06698729810778059,0.0
2020-08-01,6.580639137284949,0.06698729810778081,0.24999999999999978,1.0
2020-09-01,7.259116128097101,0.0,0.4999999999999999,0.0
2020-09-01,6.608000625296087,0.0,0.4999999999999999,1.0
2020-10-01,6.621405651764134,0.0669872981077807,0.75,1.0
2020-11-01,7.201170883281678,0.24999999999999978,0.9330127018922192,0.0
2020-11-01,6.621405651764134,0.24999999999999978,0.9330127018922192,1.0
2020-12-01,6.647688373563329,0.4999999999999999,1.0,1.0
2021-01-01,6.68586094706836,0.75,0.9330127018922194,1.0
2021-01-01,7.215975002651466,0.75,0.9330127018922194,0.0
2021-02-01,7.421177528595393,0.9330127018922193,0.75,0.0
2021-02-01,6.660575149839686,0.9330127018922193,0.75,1.0
2021-03-01,6.523562306149512,1.0,0.5,1.0
2021-03-01,7.259116128097101,1.0,0.5,0.0
2021-04-01,7.2305631534092925,0.9330127018922194,0.2500000000000001,1.0
2021-05-01,7.186144304522325,0.75,0.06698729810778065,0.0
2021-05-01,7.1316985104669115,0.75,0.06698729810778065,1.0
2021-06-01,7.186144304522325,0.5000000000000001,0.0,1.0
2021-07-01,7.1316985104669115,0.2500000000000001,0.06698729810778059,1.0
2021-07-01,7.237778191923443,0.2500000000000001,0.06698729810778059,0.0
2021-08-01,7.155396301896734,0.06698729810778081,0.24999999999999978,1.0
2021-09-01,7.313886831633462,0.0,0.4999999999999999,0.0
2021-09-01,7.193685818395112,0.0,0.4999999999999999,1.0
2021-10-01,7.193685818395112,0.0669872981077807,0.75,1.0
2021-11-01,7.353081920515432,0.24999999999999978,0.9330127018922192,0.0
2021-11-01,7.107425474110705,0.24999999999999978,0.9330127018922192,1.0
2021-12-01,7.193685818395112,0.4999999999999999,1.0,1.0
2022-01-01,7.107425474110705,0.75,0.9330127018922194,1.0
2022-01-01,7.484930283289661,0.75,0.9330127018922194,0.0
2022-02-01,7.2520539518528135,0.9330127018922193,0.75,1.0
2022-03-01,7.555381944240273,1.0,0.5,0.0
2022-03-01,7.115582126184454,1.0,0.5,1.0
2022-04-01,7.147559271189454,0.9330127018922194,0.2500000000000001,1.0
2022-05-01,7.550135342488429,0.75,0.06698729810778065,0.0
2022-05-01,7.139660335964919,0.75,0.06698729810778065,1.0
2022-06-01,7.147559271189454,0.5000000000000001,0.0,1.0
2022-07-01,7.193685818395112,0.2500000000000001,0.06698729810778059,1.0
2022-07-01,7.645397699428633,0.2500000000000001,0.06698729810778059,0.0
2022-08-01,7.1631723908466425,0.06698729810778081,0.24999999999999978,1.0
2022-09-01,7.67368812926773,0.0,0.4999999999999999,0.0
2022-09-01,6.966967138613983,0.0,0.4999999999999999,1.0
2022-10-01,6.8885724595653635,0.0669872981077807,0.75,1.0
2022-11-01,6.878326468291325,0.24999999999999978,0.9330127018922192,1.0
2022-11-01,7.462214939768189,0.24999999999999978,0.9330127018922192,0.0
2022-12-01,6.918695219020472,0.4999999999999999,1.0,1.0
2023-01-01,6.8885724595653635,0.75,0.9330127018922194,1.0
2023-01-01,7.327123292259293,0.75,0.9330127018922194,0.0
2023-02-01,6.878326468291325,0.9330127018922193,0.75,1.0
2023-03-01,7.208600337960199,1.0,0.5,0.0
2023-03-01,6.8885724595653635,1.0,0.5,1.0
2023-04-01,6.90875477931522,0.9330127018922194,0.2500000000000001,1.0
2023-05-01,7.155396301896734,0.75,0.06698729810778065,0.0
2023-05-01,6.836259277277067,0.75,0.06698729810778065,1.0
2023-06-01,6.710523109452428,0.5000000000000001,0.0,1.0
2023-06-01,7.147559271189454,0.5000000000000001,0.0,0.0
2023-07-01,7.099201743553092,0.2500000000000001,0.06698729810778059,0.0
2023-07-01,6.566672429803241,0.2500000000000001,0.06698729810778059,1.0
2023-08-01,7.066466970136958,0.06698729810778081,0.24999999999999978,0.0
2023-08-01,6.55250788703459,0.06698729810778081,0.24999999999999978,1.0
2023-09-01,6.493753839851687,0.0,0.4999999999999999,1.0
2023-09-01,7.029972911706386,0.0,0.4999999999999999,0.0
2023-10-01,6.416732282512326,0.0669872981077807,0.75,1.0
2023-10-01,7.01211529430638,0.0669872981077807,0.75,0.0
2023-11-01,7.049254841255837,0.24999999999999978,0.9330127018922192,0.0
2023-11-01,6.553933404025811,0.24999999999999978,0.9330127018922192,1.0
2023-12-01,7.047517221357296,0.4999999999999999,1.0,0.0
2023-12-01,6.52649485957079,0.4999999999999999,1.0,1.0
2024-01-01,7.052721049232323,0.75,0.9330127018922194,0.0
2024-01-01,6.452048954437226,0.75,0.9330127018922194,1.0
2024-02-01,6.523562306149512,0.9330127018922193,0.75,1.0
2024-02-01,7.018401799069201,0.9330127018922193,0.75,0.0
2024-03-01,7.0587581525186645,1.0,0.5,0.0
2024-03-01,6.424869023905388,1.0,0.5,1.0
2024-04-01,7.061334366910438,0.9330127018922194,0.2500000000000001,0.0
2024-04-01,6.300785794663244,0.9330127018922194,0.2500000000000001,1.0
2024-05-01,7.064759027791802,0.75,0.06698729810778065,0.0
2024-05-01,6.12029741895095,0.75,0.06698729810778065,1.0
2024-06-01,6.133398042996649,0.5000000000000001,0.0,1.0
2024-06-01,7.060476365999801,0.5000000000000001,0.0,0.0
2024-07-01,6.9930151229329605,0.2500000000000001,0.06698729810778059,0.0
2024-07-01,6.20050917404269,0.2500000000000001,0.06698729810778059,1.0
2024-08-01,7.014814351275545,0.06698729810778081,0.24999999999999978,0.0
2024-08-01,6.313548046277095,0.06698729810778081,0.24999999999999978,1.0
2024-09-01,6.921658184151129,0.0,0.4999999999999999,0.0
2024-09-01,6.331501849893691,0.0,0.4999999999999999,1.0
2024-10-01,6.415096959171596,0.0669872981077807,0.75,1.0
2024-10-01,6.774223886357614,0.0669872981077807,0.75,0.0
2024-11-01,6.810142450115136,0.24999999999999978,0.9330127018922192,0.0
2024-11-01,6.380122536899765,0.24999999999999978,0.9330127018922192,1.0
2024-12-01,6.320768294250582,0.4999999999999999,1.0,1.0
2024-12-01,6.796823718274855,0.4999999999999999,1.0,0.0
2025-01-01,6.8658910748834385,0.75,0.9330127018922194,0.0
2025-01-01,6.380122536899765,0.75,0.9330127018922194,1.0
2025-02-01,6.80128303447162,0.9330127018922193,0.75,0.0
2025-02-01,6.263398262591624,0.9330127018922193,0.75,1.0
2025-03-01,6.364750756851911,1.0,0.5,1.0
2025-03-01,6.825460036255307,1.0,0.5,0.0
2025-04-01,6.354370040797351,0.9330127018922194,0.2500000000000001,1.0
2025-04-01,6.815639990074331,0.9330127018922194,0.2500000000000001,0.0
