Year,Year_Num,Month_num,Month_Sin,Month_Cos,log_rate,Origin_U.S. West Coast (Los Angeles)
2013,2013,7,-0.4999999999999997,-0.8660254037844388,6.8679744089702925,True
2013,2013,7,-0.4999999999999997,-0.8660254037844388,7.501634457883413,False
2013,2013,8,-0.8660254037844384,-0.5000000000000004,7.544861068658458,False
2013,2013,8,-0.8660254037844384,-0.5000000000000004,6.90875477931522,True
2013,2013,9,-1.0,-1.8369701987210297e-16,7.479299637782834,False
2013,2013,9,-1.0,-1.8369701987210297e-16,6.8679744089702925,True
2013,2013,10,-0.8660254037844386,0.5000000000000001,7.544861068658458,False
2013,2013,10,-0.8660254037844386,0.5000000000000001,6.85751406254539,True
2013,2013,11,-0.5000000000000004,0.8660254037844384,6.734591659972948,True
2013,2013,11,-0.5000000000000004,0.8660254037844384,7.544861068658458,False
2013,2013,12,-2.4492935982947064e-16,1.0,7.544861068658458,False
2013,2013,12,-2.4492935982947064e-16,1.0,6.7580945044277305,True
2014,2014,1,0.49999999999999994,0.8660254037844387,7.409136443920128,False
2014,2014,1,0.49999999999999994,0.8660254037844387,6.803505257608338,True
2014,2014,2,0.8660254037844386,0.5000000000000001,7.550135342488429,False
2014,2014,2,0.8660254037844386,0.5000000000000001,6.846943139585379,True
2014,2014,3,1.0,6.123233995736766e-17,6.803505257608338,True
2014,2014,3,1.0,6.123233995736766e-17,7.409136443920128,False
2014,2014,4,0.8660254037844387,-0.4999999999999998,7.409136443920128,False
2014,2014,4,0.8660254037844387,-0.4999999999999998,6.803505257608338,True
2014,2014,5,0.49999999999999994,-0.8660254037844387,7.409136443920128,False
2014,2014,5,0.49999999999999994,-0.8660254037844387,6.769641976852503,True
2014,2014,6,1.2246467991473532e-16,-1.0,7.409136443920128,False
2014,2014,6,1.2246467991473532e-16,-1.0,6.769641976852503,True
2014,2014,7,-0.4999999999999997,-0.8660254037844388,6.7580945044277305,True
2014,2014,7,-0.4999999999999997,-0.8660254037844388,7.438971592395862,False
2014,2014,8,-0.8660254037844384,-0.5000000000000004,7.438971592395862,False
2014,2014,8,-0.8660254037844384,-0.5000000000000004,6.7580945044277305,True
2014,2014,9,-1.0,-1.8369701987210297e-16,7.438971592395862,False
2014,2014,9,-1.0,-1.8369701987210297e-16,6.710523109452428,True
2014,2014,10,-0.8660254037844386,0.5000000000000001,7.438971592395862,False
2014,2014,10,-0.8660254037844386,0.5000000000000001,6.710523109452428,True
2014,2014,11,-0.5000000000000004,0.8660254037844384,6.734591659972948,True
2014,2014,11,-0.5000000000000004,0.8660254037844384,7.438971592395862,False
2014,2014,12,-2.4492935982947064e-16,1.0,6.78105762593618,True
2014,2014,12,-2.4492935982947064e-16,1.0,7.438971592395862,False
2015,2015,1,0.49999999999999994,0.8660254037844387,7.438971592395862,False
2015,2015,1,0.49999999999999994,0.8660254037844387,6.792344427470809,True
2015,2015,3,1.0,6.123233995736766e-17,7.467942332285852,False
2015,2015,3,1.0,6.123233995736766e-17,6.734591659972948,True
2015,2015,4,0.8660254037844387,-0.4999999999999998,7.467942332285852,False
2015,2015,4,0.8660254037844387,-0.4999999999999998,6.734591659972948,True
2015,2015,5,0.49999999999999994,-0.8660254037844387,6.7464121285733745,True
2015,2015,5,0.49999999999999994,-0.8660254037844387,7.467942332285852,False
2015,2015,6,1.2246467991473532e-16,-1.0,6.7580945044277305,True
2015,2015,6,1.2246467991473532e-16,-1.0,7.467942332285852,False
2015,2015,7,-0.4999999999999997,-0.8660254037844388,7.576097340623111,False
2015,2015,7,-0.4999999999999997,-0.8660254037844388,6.7464121285733745,True
2015,2015,8,-0.8660254037844384,-0.5000000000000004,7.462214939768189,False
2015,2015,8,-0.8660254037844384,-0.5000000000000004,6.710523109452428,True
2015,2015,9,-1.0,-1.8369701987210297e-16,7.462214939768189,False
2015,2015,9,-1.0,-1.8369701987210297e-16,6.647688373563329,True
2015,2015,10,-0.8660254037844386,0.5000000000000001,6.660575149839686,True
2015,2015,10,-0.8660254037844386,0.5000000000000001,7.462214939768189,False
2015,2015,11,-0.5000000000000004,0.8660254037844384,7.462214939768189,False
2015,2015,11,-0.5000000000000004,0.8660254037844384,6.647688373563329,True
2015,2015,12,-2.4492935982947064e-16,1.0,7.462214939768189,False
2015,2015,12,-2.4492935982947064e-16,1.0,6.660575149839686,True
2016,2016,1,0.49999999999999994,0.8660254037844387,7.32052696227274,False
2016,2016,1,0.49999999999999994,0.8660254037844387,6.580639137284949,True
2016,2016,2,0.8660254037844386,0.5000000000000001,6.580639137284949,True
2016,2016,2,0.8660254037844386,0.5000000000000001,7.438971592395862,False
2016,2016,3,1.0,6.123233995736766e-17,6.594413459749778,True
2016,2016,3,1.0,6.123233995736766e-17,7.2868764117507,False
2016,2016,4,0.8660254037844387,-0.4999999999999998,7.518064181233078,False
2016,2016,4,0.8660254037844387,-0.4999999999999998,6.594413459749778,True
2016,2016,5,0.49999999999999994,-0.8660254037844387,7.2868764117507,False
2016,2016,5,0.49999999999999994,-0.8660254037844387,6.594413459749778,True
2016,2016,6,1.2246467991473532e-16,-1.0,7.518064181233078,False
2016,2016,6,1.2246467991473532e-16,-1.0,6.580639137284949,True
2016,2016,7,-0.4999999999999997,-0.8660254037844388,6.594413459749778,True
2016,2016,7,-0.4999999999999997,-0.8660254037844388,7.372118028337787,False
2016,2016,8,-0.8660254037844384,-0.5000000000000004,6.566672429803241,True
2016,2016,9,-1.0,-1.8369701987210297e-16,7.384610383176974,False
2016,2016,9,-1.0,-1.8369701987210297e-16,6.566672429803241,True
2016,2016,10,-0.8660254037844386,0.5000000000000001,7.53955882930103,False
2016,2016,10,-0.8660254037844386,0.5000000000000001,6.55250788703459,True
2016,2016,11,-0.5000000000000004,0.8660254037844384,7.473637108496206,False
2016,2016,11,-0.5000000000000004,0.8660254037844384,6.580639137284949,True
2016,2016,12,-2.4492935982947064e-16,1.0,6.566672429803241,True
2017,2017,1,0.49999999999999994,0.8660254037844387,7.456454555176209,False
2017,2017,1,0.49999999999999994,0.8660254037844387,6.634633357861686,True
2017,2017,2,0.8660254037844386,0.5000000000000001,6.621405651764134,True
2017,2017,3,1.0,6.123233995736766e-17,7.396948602621014,False
2017,2017,3,1.0,6.123233995736766e-17,6.660575149839686,True
2017,2017,4,0.8660254037844387,-0.4999999999999998,6.660575149839686,True
2017,2017,5,0.49999999999999994,-0.8660254037844387,7.57095858316901,False
2017,2017,5,0.49999999999999994,-0.8660254037844387,6.660575149839686,True
2017,2017,6,1.2246467991473532e-16,-1.0,6.634633357861686,True
2017,2017,7,-0.4999999999999997,-0.8660254037844388,7.450660796211539,False
2017,2017,7,-0.4999999999999997,-0.8660254037844388,6.608000625296087,True
2017,2017,8,-0.8660254037844384,-0.5000000000000004,6.621405651764134,True
2017,2017,9,-1.0,-1.8369701987210297e-16,7.507141079727608,False
2017,2017,9,-1.0,-1.8369701987210297e-16,6.621405651764134,True
2017,2017,10,-0.8660254037844386,0.5000000000000001,6.621405651764134,True
2017,2017,11,-0.5000000000000004,0.8660254037844384,6.647688373563329,True
2017,2017,11,-0.5000000000000004,0.8660254037844384,7.438971592395862,False
2017,2017,12,-2.4492935982947064e-16,1.0,6.647688373563329,True
2018,2018,1,0.49999999999999994,0.8660254037844387,7.490529402060711,False
2018,2018,1,0.49999999999999994,0.8660254037844387,6.647688373563329,True
2018,2018,2,0.8660254037844386,0.5000000000000001,6.647688373563329,True
2018,2018,3,1.0,6.123233995736766e-17,7.372118028337787,False
2018,2018,3,1.0,6.123233995736766e-17,6.608000625296087,True
2018,2018,4,0.8660254037844387,-0.4999999999999998,6.608000625296087,True
2018,2018,5,0.49999999999999994,-0.8660254037844387,7.353081920515432,False
2018,2018,5,0.49999999999999994,-0.8660254037844387,6.68586094706836,True
2018,2018,6,1.2246467991473532e-16,-1.0,6.7226297948554485,True
2018,2018,7,-0.4999999999999997,-0.8660254037844388,7.193685818395112,False
2018,2018,7,-0.4999999999999997,-0.8660254037844388,6.734591659972948,True
2018,2018,8,-0.8660254037844384,-0.5000000000000004,6.621405651764134,True
2018,2018,9,-1.0,-1.8369701987210297e-16,6.634633357861686,True
2018,2018,9,-1.0,-1.8369701987210297e-16,7.409136443920128,False
2018,2018,10,-0.8660254037844386,0.5000000000000001,6.710523109452428,True
2018,2018,11,-0.5000000000000004,0.8660254037844384,7.372118028337787,False
2018,2018,11,-0.5000000000000004,0.8660254037844384,6.710523109452428,True
2018,2018,12,-2.4492935982947064e-16,1.0,6.710523109452428,True
2019,2019,1,0.49999999999999994,0.8660254037844387,7.353081920515432,False
2019,2019,1,0.49999999999999994,0.8660254037844387,6.734591659972948,True
2019,2019,2,0.8660254037844386,0.5000000000000001,6.698268054115413,True
2019,2019,3,1.0,6.123233995736766e-17,7.186144304522325,False
2019,2019,3,1.0,6.123233995736766e-17,6.673297967767654,True
2019,2019,4,0.8660254037844387,-0.4999999999999998,7.534228326274089,False
